% Model,CFxSimEIS.mph
% Version,COMSOL 5.6.0.401
% Date,"Nov 8 2021, 13:49"
% Table,Table 3 - Global Evaluation 1
% sigma_CFx (S/m),i0_an (A/m^2),freq (Hz),Z (Ω*m^2)
0.02,10,0.001,0.033294148244447465+0.004700632356748269i
0.02,10,0.0017782794100389228,0.03210603035395846+0.0035548626085572265i
0.02,10,0.0031622776601683794,0.031199799436963053+0.0026893992606863214i
0.02,10,0.005623413251903491,0.030519873022620297+0.0020326043250549247i
0.02,10,0.01,0.030014607236815368+0.00155059026596854i
0.02,10,0.01778279410038923,0.029621276118674798+0.0012138504266101637i
0.02,10,0.03162277660168379,0.029285704505948442+9.722994257271992E-4i
0.02,10,0.05623413251903491,0.028992946900803184+7.685682227344036E-4i
0.02,10,0.1,0.02876050359559371+5.69823801118265E-4i
0.02,10,0.1778279410038923,0.028612900491155887+3.826781231863417E-4i
0.02,10,0.31622776601683794,0.02854143915755808+2.3832557853968817E-4i
0.02,10,0.5623413251903491,0.028511528800951667+1.4539239017805747E-4i
0.02,10,1,0.028498739761373855+9.169849360294674E-5i
0.02,10,1.7782794100389228,0.028492769076184088+6.443694861584758E-5i
0.02,10,3.1622776601683795,0.02848977555614717+5.664984972739875E-5i
0.02,10,5.623413251903491,0.028487794762363388+6.697733026566155E-5i
0.02,10,10,0.028485027102649087+9.947877578504558E-5i
0.02,10,17.78279410038923,0.028478020486959604+1.651281176434654E-4i
0.02,10,31.622776601683793,0.02845718702525402+2.846688491188117E-4i
0.02,10,56.23413251903491,0.02839437952840149+4.90120531322387E-4i
0.02,10,100,0.02821496323252924+8.084724229256014E-4i
0.02,10,177.82794100389228,0.027782822354805687+0.0011775784378701265i
0.02,10,316.22776601683796,0.027068792391833567+0.0013342934157857121i
0.02,10,562.341325190349,0.026398212729296263+0.0011053333816845796i
0.02,10,1000,0.02603077123922149+7.309687827361998E-4i
0.02,10,1778.2794100389228,0.025886062012815007+4.3528149387125935E-4i
0.02,10,3162.2776601683795,0.025836682266853945+2.494256737332745E-4i
0.02,10,5623.413251903491,0.025820674165687247+1.411101468856823E-4i
0.02,10,10000,0.02581557161283498+7.950416311344261E-5i
0.02,10,17782.794100389227,0.02581395397393142+4.4735865318776815E-5i
0.02,10,31622.776601683792,0.02581344202758571+2.516057310816768E-5i
0.02,10,56234.13251903491,0.025813280086387825+1.4153794439406946E-5i
0.02,10,100000,0.025813228884384858+7.952223246791929E-6i
0.02,10,177827.94100389228,0.02581321268478498+4.47402012269862E-6i
0.02,10,316227.7660168379,0.025813207562199156+2.5183942537784048E-6i
